PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,rang_sozial,belastung_rang
Alt-Kaulsdorf,Marzahn-Hellersdorf,89.5,72.3,22.0,183.8
Alt-Mahlsdorf,Marzahn-Hellersdorf,96.9,81.0,5.9,183.8
George-Grosz-Platz,Charlottenburg-Wilmersdorf,71.8,79.2,32.3,183.3
Graefekiez Süd,Friedrichshain-Kreuzberg,48.9,57.9,76.4,183.2
Kurstraße,Spandau,37.1,50.2,95.8,183.1
Dorf Altglienicke,Treptow-Köpenick,90.2,81.7,10.9,182.8
Köpenicker Straße,Friedrichshain-Kreuzberg,38.2,55.4,88.6,182.2
Am Kienberg,Marzahn-Hellersdorf,37.5,78.4,65.9,181.8
Alvenslebenstraße,Tempelhof-Schöneberg,41.9,48.3,91.3,181.5
Märchenland,Pankow,90.4,89.5,0.2,180.1
Hochmeisterplatz,Charlottenburg-Wilmersdorf,75.6,69.0,34.9,179.5
Teutoburger Platz,Pankow,76.4,82.8,19.6,178.8
Machonstraße,Tempelhof-Schöneberg,60.9,49.8,68.1,178.8
Grazer Platz,Tempelhof-Schöneberg,56.5,59.8,62.5,178.8
Arnold-Zweig-Straße,Pankow,81.4,66.4,30.8,178.6
Nordufer,Mitte,26.4,64.4,87.6,178.4
Belziger Straße,Tempelhof-Schöneberg,45.9,59.6,71.8,177.3
Nahariyastraße,Tempelhof-Schöneberg,56.1,34.7,86.0,176.8
Savignyplatz,Charlottenburg-Wilmersdorf,72.1,75.6,28.4,176.1
Oranienplatz,Friedrichshain-Kreuzberg,39.7,41.9,94.1,175.7
Johannisthal Ost,Treptow-Köpenick,82.3,63.1,30.3,175.7
Kettinger Straße,Tempelhof-Schöneberg,94.6,57.6,23.4,175.6
Maselake,Spandau,40.8,83.4,51.3,175.5
Schlangenbader Straße,Charlottenburg-Wilmersdorf,42.8,68.3,64.0,175.1
Reuterplatz,Neukölln,47.4,50.0,77.7,175.1
Massower Straße,Lichtenberg,75.1,53.9,46.1,175.1
Tegeler Weg,Charlottenburg-Wilmersdorf,44.1,63.8,66.2,174.1
Leon-Jessel-Platz,Charlottenburg-Wilmersdorf,59.2,67.3,47.6,174.1
Schulstraße,Mitte,33.8,42.6,97.6,174.0
Wilhelmsruh,Pankow,86.5,73.4,13.8,173.7
Carl-Schurz-Straße,Spandau,49.3,45.0,79.2,173.5
Friedrich-Karl-Straße,Tempelhof-Schöneberg,56.3,59.4,57.7,173.4
Lüneburger Straße,Mitte,34.3,82.1,56.5,172.9
Uhlandstraße,Pankow,83.0,72.0,17.3,172.3
Christburger Straße,Pankow,63.7,87.6,20.8,172.1
Karow Bahnhof,Pankow,87.8,79.5,4.8,172.1
Elsensee,Marzahn-Hellersdorf,84.5,85.6,1.5,171.6
Mellerbogen,Reinickendorf,67.9,39.9,63.5,171.3
Imbrosweg,Tempelhof-Schöneberg,65.7,39.7,65.5,170.9
Birnhornweg,Tempelhof-Schöneberg,95.0,63.7,12.0,170.7
Falkenberg West,Lichtenberg,33.9,65.5,71.2,170.6
Helmholtzplatz,Pankow,59.8,72.1,38.6,170.5
Weinmeisterhornweg,Spandau,80.6,51.7,37.1,169.4
Hohenschönhausener Straße,Lichtenberg,34.1,57.2,78.0,169.3
Forckenbeckplatz,Friedrichshain-Kreuzberg,61.8,64.2,42.8,168.8
Bouchéstraße,Neukölln,40.6,44.1,83.6,168.3
Bötzowstraße,Pankow,63.8,78.8,25.6,168.2
Norweger Viertel,Pankow,64.4,70.3,33.0,167.7
Maybachufer,Neukölln,34.7,55.5,77.5,167.7
Pilgramer Straße,Marzahn-Hellersdorf,91.0,74.7,1.7,167.4
Brabanter Platz,Charlottenburg-Wilmersdorf,42.3,69.4,55.4,167.1
Magistratsweg,Spandau,46.3,38.0,82.5,166.8
Blankenburg,Pankow,90.8,73.2,2.8,166.8
Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,67.3,67.5,31.7,166.5
Rosenthal,Pankow,86.3,66.8,12.9,166.0
Belßstraße,Steglitz-Zehlendorf,58.5,43.9,63.1,165.5
Wrangelkiez,Friedrichshain-Kreuzberg,33.2,51.5,80.6,165.3
Spiekermann Straße,Pankow,75.3,58.7,31.0,165.0
Oberfeldstraße,Marzahn-Hellersdorf,92.6,70.1,1.3,164.0
Bergstraße,Steglitz-Zehlendorf,66.8,56.8,40.0,163.6
Storkower Bogen,Lichtenberg,62.0,53.3,48.3,163.6
Wittenau Süd,Reinickendorf,72.9,31.5,58.7,163.1
Hausotterplatz,Reinickendorf,50.4,30.4,81.9,162.7
Rodenbergstraße,Pankow,64.8,77.9,19.2,161.9
Stülerstraße,Mitte,45.2,74.0,41.5,160.7
Nordbahnhof,Mitte,64.2,80.8,15.1,160.1
Teichstraße,Reinickendorf,51.5,35.1,73.2,159.8
Im Spektefeld,Spandau,21.6,51.1,86.3,159.0
Helmholtz-Kiez,Treptow-Köpenick,29.0,61.6,68.3,158.9
Droysenstraße,Charlottenburg-Wilmersdorf,54.4,54.4,49.4,158.2
Nöldnerplatz,Lichtenberg,62.4,49.6,45.9,157.9
Hellersdorfer Promenade,Marzahn-Hellersdorf,28.0,40.4,89.3,157.7
Karlshorst West,Lichtenberg,79.0,62.4,15.9,157.3
Revaler Straße,Friedrichshain-Kreuzberg,66.2,61.1,29.9,157.2
Niederbarnimstraße,Friedrichshain-Kreuzberg,58.1,46.3,52.0,156.4
Volkspark (Rudolph-Wilde-Park),Tempelhof-Schöneberg,43.9,49.3,62.9,156.1
Landsberger Allee,Lichtenberg,50.7,44.3,61.1,156.1
