PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Nordbahnhof,Mitte,64.2,80.8,145.0,15.1
Hochmeisterplatz,Charlottenburg-Wilmersdorf,75.6,69.0,144.6,34.9
Schloßstraße,Charlottenburg-Wilmersdorf,67.7,76.6,144.3,46.7
An der Tränke,Spandau,81.9,62.2,144.1,7.0
Julius-Leber-Brücke,Tempelhof-Schöneberg,72.5,71.6,144.1,72.0
Havelländer Ring,Marzahn-Hellersdorf,69.2,73.6,142.8,73.8
Rodenbergstraße,Pankow,64.8,77.9,142.7,19.2
Bötzowstraße,Pankow,63.8,78.8,142.6,25.6
Wittekindstraße,Tempelhof-Schöneberg,75.8,66.2,142.0,57.4
Karlshorst West,Lichtenberg,79.0,62.4,141.4,15.9
Alt-Rixdorf,Neukölln,73.1,68.1,141.2,90.4
Lützowstraße,Mitte,69.9,71.2,141.1,82.8
Marienfelder Allee Nordwest,Tempelhof-Schöneberg,85.6,54.8,140.4,76.2
Gewerbegebiet Bitterfelder Straße,Marzahn-Hellersdorf,71.0,69.2,140.2,91.5
Rathaus Tempelhof,Tempelhof-Schöneberg,66.6,73.1,139.7,62.2
Neue Grottkauer Straße,Marzahn-Hellersdorf,63.3,76.4,139.7,85.1
Wittenbergplatz,Tempelhof-Schöneberg,73.4,65.9,139.3,69.2
Am Berlin Museum,Friedrichshain-Kreuzberg,69.4,69.9,139.3,98.0
Dörfer Malchow-Wartenberg,Lichtenberg,74.5,64.6,139.1,3.5
Lea-Grundig-Straße,Marzahn-Hellersdorf,76.0,61.8,137.8,66.8
Falkenberg,Treptow-Köpenick,79.2,58.3,137.5,14.9
Eiswerder,Spandau,43.2,93.7,136.9,86.9
Bärenstein,Marzahn-Hellersdorf,70.7,66.1,136.8,54.4
Jahnstraße,Neukölln,62.2,73.8,136.0,92.1
Invalidenstraße,Mitte,62.9,72.7,135.6,15.3
Zossener Straße,Marzahn-Hellersdorf,53.7,81.5,135.2,93.9
Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,67.3,67.5,134.8,31.7
Norweger Viertel,Pankow,64.4,70.3,134.7,33.0
Lübars,Reinickendorf,70.5,63.5,134.0,8.7
Spiekermann Straße,Pankow,75.3,58.7,134.0,31.0
Ortolanweg,Neukölln,55.5,77.5,133.0,92.3
Frobenstraße,Tempelhof-Schöneberg,66.1,66.6,132.7,88.2
Weinmeisterhornweg,Spandau,80.6,51.7,132.3,37.1
Maulbeerallee,Spandau,68.8,63.3,132.1,99.4
Humboldthain Nordwest,Mitte,61.1,71.0,132.1,97.2
Helmholtzplatz,Pankow,59.8,72.1,131.9,38.6
Heine-Viertel Ost,Mitte,51.7,79.7,131.4,19.7
Werkstraße,Spandau,79.9,50.9,130.8,17.2
Altstadt Köpenick,Treptow-Köpenick,45.6,84.9,130.5,72.9
Markelstraße,Steglitz-Zehlendorf,60.0,70.5,130.5,20.5
Auersbergstraße,Marzahn-Hellersdorf,64.6,65.7,130.3,54.8
